50.236.148.254:39970
35.247.128.90:8080
167.71.182.175:3128
191.96.50.194:3129
38.124.142.1:8080
198.255.114.226:3128
35.235.75.244:3128
24.154.112.20:8080
35.240.223.211:3128
 34.233.248.2:80
 35.240.8.116:8888
 166.62.123.35:62550
 192.169.188.100:36514
 50.62.60.142:64613
 72.210.252.134:1080
 97.72.253.34:87
 50.62.63.241:57031
 198.199.116.206:49569
 166.62.85.161:24531
 98.174.90.36:1080
 104.238.99.130:13346
 132.148.141.147:8635
 184.185.2.146:47659
 70.168.93.201:17009
 50.63.132.99:42079
 104.238.97.215:29771
 167.71.101.134:3128
 69.58.7.164:36099
 107.170.42.147:16219
 104.207.144.248:10002
 192.169.215.114:44598
 192.169.197.146:7881
 174.75.238.68:16399
 206.183.31.221:9050
 66.110.216.105:39431
 192.169.193.54:16057
 162.252.96.65:8080
 54.176.202.142:80
 107.21.196.179:3128
 165.22.162.120:3128
 142.93.113.20:80
 208.180.237.55:31012
 54.174.149.97:80
 107.178.4.215:44826
 174.138.41.153:8080
 68.183.147.115:3128
 52.203.121.19:8080
 67.143.6.218:87
 40.131.87.38:8080
 191.96.43.206:3129
 23.251.52.68:3128
 12.189.125.89:30992
 208.98.185.89:53630
 149.28.58.67:8080
 18.218.5.0:80
 35.246.105.250:3128
 141.211.55.62:80
 216.228.69.202:36561
 104.248.117.3:8080
 209.212.33.99:8080
 3.87.48.85:3128
 72.221.164.35:1080
 68.183.163.94:3128
 165.227.20.194:9050
 208.102.51.6:58208
 98.172.253.157:1080
 162.243.28.56:49144
 64.118.87.11:23320
 67.205.149.230:1080
 198.199.120.102:1080
 50.63.167.72:32061
 166.62.81.144:21230
 167.99.118.177:3128
 166.62.43.174:1230
 50.62.59.248:57031
 216.169.73.65:40344
 66.148.116.101:9300
 166.62.103.159:57531
 18.191.122.159:1080
 198.23.137.148:8080
 192.241.223.145:80
 45.55.23.78:1080
 162.252.98.40:8080
 96.44.133.110:58690
 192.241.187.83:31650
 75.119.204.102:13228
 162.248.247.153:32592
 50.62.56.237:35032
 192.169.214.83:35735
 166.62.33.118:4402
 216.144.228.130:15378
 70.166.38.71:24801
 166.62.84.121:11313
 192.169.217.106:21456
 216.144.230.233:15993
 192.169.218.22:20137
 64.90.49.69:33218
 166.62.59.87:43403
 132.148.128.250:20624
184.176.166.8:17864
